Date,Open,High,Low,Close,Volume
12/11/2023,"29.40","29.79","29.16","29.59","3,222,813"
12/08/2023,"29.33","29.90","29.12","29.61","4,002,800"
12/07/2023,"28.93","29.35","28.78","29.16","3,254,849"
12/06/2023,"29.40","30.07","28.72","28.76","6,707,243"
12/05/2023,"28.33","29.33","28.19","29.06","9,472,810"
12/04/2023,"28.02","28.76","27.97","28.65","5,361,662"
12/01/2023,"27.17","28.55","26.99","28.52","7,566,890"
11/30/2023,"27.38","27.50","26.99","27.27","7,219,881"
11/29/2023,"26.79","27.49","26.76","27.24","5,287,762"
11/28/2023,"26.35","26.71","26.13","26.58","4,616,519"
11/27/2023,"26.58","26.68","26.25","26.40","4,823,597"
11/24/2023,"26.68","26.97","26.46","26.87","1,559,046"
11/22/2023,"27.21","27.23","26.57","26.76","2,764,286"
11/21/2023,"27.21","27.45","26.64","26.88","4,619,370"
11/20/2023,"27.57","27.65","27.07","27.58","4,385,427"
11/17/2023,"27.35","27.78","27.18","27.77","4,791,148"
11/16/2023,"27.33","27.44","26.70","27.08","4,843,736"
11/15/2023,"26.60","27.51","26.59","27.32","5,517,549"
11/14/2023,"25.97","27.23","25.93","26.58","5,212,383"
11/13/2023,"25.00","25.25","24.73","24.95","3,732,007"
11/10/2023,"25.20","25.23","24.62","25.17","3,800,629"
11/09/2023,"25.76","25.94","24.92","25.02","7,525,465"
11/08/2023,"25.83","25.89","25.48","25.71","3,879,177"
11/07/2023,"25.63","25.99","25.37","25.81","4,946,849"
11/06/2023,"26.29","26.38","25.52","25.84","4,116,196"
11/03/2023,"26.01","26.54","25.90","26.17","8,175,892"
11/02/2023,"23.60","25.00","23.50","24.90","6,679,928"
11/01/2023,"23.46","23.60","23.07","23.17","5,418,882"
10/31/2023,"23.07","23.50","22.81","23.43","6,150,630"
10/30/2023,"23.13","23.44","22.85","23.39","6,635,448"
10/27/2023,"23.59","23.63","22.77","22.87","4,891,887"
10/26/2023,"23.62","24.16","23.60","23.74","5,115,055"
10/25/2023,"23.12","23.62","22.99","23.47","6,842,441"
10/24/2023,"23.70","24.06","23.26","23.58","6,029,794"
10/23/2023,"23.86","24.22","23.57","23.58","9,768,045"
10/20/2023,"24.75","24.80","23.56","23.76","9,384,607"
10/19/2023,"25.61","26.02","24.84","24.88","8,792,258"
10/18/2023,"25.71","26.67","25.23","25.59","11,393,030"
10/17/2023,"26.03","27.35","26.03","27.10","6,290,234"
10/16/2023,"26.08","26.63","25.86","26.51","4,577,217"
10/13/2023,"26.66","26.80","25.53","25.71","6,056,225"
10/12/2023,"26.80","26.80","26.10","26.36","4,897,834"
10/11/2023,"26.85","27.24","26.51","26.75","2,605,687"
10/10/2023,"26.60","27.21","26.57","26.81","4,431,725"
10/09/2023,"25.60","26.51","25.60","26.33","3,364,449"
10/06/2023,"25.58","26.26","25.26","26.18","7,751,759"
10/05/2023,"25.45","26.02","25.27","25.79","3,834,345"
10/04/2023,"25.59","25.67","25.13","25.64","7,010,230"
10/03/2023,"25.75","25.75","25.26","25.45","5,709,126"
10/02/2023,"26.68","26.75","25.74","25.91","5,199,543"
09/29/2023,"26.60","27.32","26.58","26.80","4,785,279"
09/28/2023,"25.78","26.51","25.73","26.35","4,411,140"
09/27/2023,"25.98","26.01","25.41","25.76","4,812,012"
09/26/2023,"26.25","26.74","25.96","25.99","5,474,693"
09/25/2023,"26.47","26.69","26.27","26.63","3,548,270"
09/22/2023,"26.99","27.14","26.56","26.56","3,397,840"
09/21/2023,"27.29","27.71","26.97","26.97","4,577,811"
09/20/2023,"27.88","28.06","27.37","27.52","6,351,319"
09/19/2023,"27.40","27.59","26.94","27.46","5,880,637"
09/18/2023,"27.90","27.90","27.33","27.40","3,459,781"
09/15/2023,"27.84","28.24","27.67","27.96","9,556,800"
09/14/2023,"27.87","28.51","27.80","28.27","4,535,980"
09/13/2023,"28.62","28.73","27.31","27.44","6,067,464"
09/12/2023,"27.69","28.69","27.60","28.37","5,444,255"
09/11/2023,"27.73","28.10","27.58","27.62","6,165,350"
09/08/2023,"26.95","27.48","26.66","27.37","3,939,629"
09/07/2023,"27.62","27.89","26.85","26.94","5,163,791"
09/06/2023,"28.09","28.30","27.56","27.68","5,172,415"
09/05/2023,"28.43","28.97","28.30","28.38","3,721,538"
09/01/2023,"28.35","28.78","28.32","28.63","3,725,590"
08/31/2023,"28.09","28.22","27.93","28.13","6,485,158"
08/30/2023,"28.21","28.43","27.98","27.99","6,882,628"
08/29/2023,"27.51","28.36","27.31","28.30","6,189,362"
08/28/2023,"27.15","27.63","27.05","27.37","3,784,955"
08/25/2023,"27.19","27.35","26.66","26.84","3,781,818"
08/24/2023,"26.91","27.44","26.84","27.08","4,398,129"
08/23/2023,"26.70","27.01","26.45","26.92","4,064,066"
08/22/2023,"27.39","27.63","26.73","26.75","4,834,074"
08/21/2023,"27.80","27.90","27.30","27.44","4,623,888"
08/18/2023,"27.98","28.17","27.56","27.71","6,967,844"
08/17/2023,"28.27","28.48","28.12","28.28","3,573,228"
08/16/2023,"28.21","28.41","27.98","28.10","4,332,718"
08/15/2023,"29.04","29.07","28.21","28.29","6,047,831"
08/14/2023,"30.37","30.43","29.44","29.58","5,035,210"
08/11/2023,"30.55","30.87","30.46","30.71","3,340,174"
08/10/2023,"30.85","31.14","30.51","30.73","4,910,507"
08/09/2023,"30.82","31.20","30.46","30.60","4,899,261"
08/08/2023,"30.42","31.03","29.67","31.00","6,937,572"
08/07/2023,"31.47","31.97","31.32","31.51","3,818,612"
08/04/2023,"31.33","31.88","31.24","31.25","7,734,558"
08/03/2023,"30.96","31.50","30.68","31.48","4,580,809"
08/02/2023,"30.70","31.20","30.40","31.05","4,592,483"
08/01/2023,"31.66","31.75","30.91","31.10","5,990,475"
07/31/2023,"32.42","32.65","32.01","32.26","5,580,440"
07/28/2023,"32.42","32.52","31.87","32.29","4,880,199"
07/27/2023,"32.56","33.47","31.81","31.93","6,255,994"
07/26/2023,"31.96","32.64","31.93","32.44","7,212,028"
07/25/2023,"32.22","32.59","31.11","31.17","7,898,312"
07/24/2023,"31.13","32.39","31.13","32.14","7,113,596"
07/21/2023,"31.42","31.47","30.67","31.05","8,213,520"
07/20/2023,"30.57","31.42","30.50","31.22","13,413,520"
07/19/2023,"29.09","31.61","28.86","30.97","14,997,730"
07/18/2023,"28.30","29.15","28.17","29.11","8,574,633"
07/17/2023,"27.78","28.26","27.62","28.08","3,563,856"
07/14/2023,"28.72","28.72","27.44","27.78","5,653,622"
07/13/2023,"28.21","28.69","28.01","28.38","4,768,441"
07/12/2023,"28.06","28.87","28.04","28.11","6,289,624"
07/11/2023,"26.95","27.64","26.60","27.58","6,267,675"
07/10/2023,"26.39","27.15","26.35","26.70","4,965,063"
07/07/2023,"26.06","27.24","26.06","26.93","7,350,480"
07/06/2023,"25.82","26.07","25.23","26.07","5,818,724"
07/05/2023,"26.03","26.61","25.96","26.25","4,927,586"
07/03/2023,"26.33","27.03","26.30","26.52","3,847,114"
06/30/2023,"26.31","26.39","25.76","26.08","6,005,624"
06/29/2023,"25.36","26.25","25.34","25.93","8,938,760"
06/28/2023,"25.81","25.83","25.20","25.66","6,073,669"
06/27/2023,"25.66","26.19","25.32","26.08","5,583,947"
06/26/2023,"25.63","26.06","25.48","25.56","4,541,024"
06/23/2023,"25.60","26.12","25.36","25.47","6,465,341"
06/22/2023,"27.10","27.15","25.99","26.07","5,286,190"
06/21/2023,"27.14","27.35","26.73","26.94","4,338,011"
06/20/2023,"27.29","27.31","26.73","27.20","5,030,532"
06/16/2023,"28.12","28.12","27.19","27.26","11,760,960"
06/15/2023,"26.94","27.82","26.89","27.69","6,617,271"
06/14/2023,"28.50","28.87","26.99","27.10","7,213,135"
06/13/2023,"27.37","28.39","26.97","28.18","7,523,398"
06/12/2023,"28.00","28.92","25.72","27.41","16,314,070"
06/09/2023,"28.74","28.91","27.95","28.34","7,208,409"
06/08/2023,"28.80","28.89","28.21","28.83","6,614,229"
06/07/2023,"28.88","29.22","28.21","29.01","8,153,933"
06/06/2023,"27.43","28.97","27.29","28.60","4,911,704"
06/05/2023,"27.95","27.99","26.92","27.49","4,008,501"
06/02/2023,"27.00","27.97","26.82","27.79","6,792,215"
06/01/2023,"26.12","26.51","25.43","26.39","5,922,237"
05/31/2023,"26.75","26.86","25.59","25.78","9,193,936"
05/30/2023,"27.19","27.65","26.64","27.17","6,659,313"
05/26/2023,"26.85","27.08","26.28","27.01","4,924,699"
05/25/2023,"26.80","27.23","26.56","26.85","6,078,822"
05/24/2023,"27.61","27.81","26.93","26.93","6,736,478"
05/23/2023,"27.28","28.40","27.27","27.87","9,846,756"
05/22/2023,"26.51","27.21","26.10","27.19","4,958,701"
05/19/2023,"26.46","26.56","25.59","26.18","7,046,037"
05/18/2023,"26.22","26.41","25.87","26.34","7,865,376"
05/17/2023,"25.57","26.53","25.34","26.38","9,696,911"
05/16/2023,"25.80","25.99","25.05","25.05","5,354,663"
05/15/2023,"24.80","25.78","24.79","25.77","5,989,418"
05/12/2023,"25.00","25.04","24.53","24.80","5,958,956"
05/11/2023,"24.99","25.36","24.72","24.80","8,251,876"
05/10/2023,"26.44","26.51","25.15","25.40","9,605,837"
05/09/2023,"25.52","26.11","25.32","26.05","6,566,022"
05/08/2023,"27.00","27.00","25.58","25.76","10,999,890"
05/05/2023,"26.26","26.49","25.63","26.44","10,439,720"
05/04/2023,"25.17","25.57","23.37","24.85","26,935,529"
05/03/2023,"26.95","27.72","26.02","26.22","11,423,860"
05/02/2023,"28.45","28.65","26.02","26.93","16,331,930"
05/01/2023,"29.92","30.05","28.71","28.82","22,079,561"
04/28/2023,"29.87","31.58","29.78","30.94","12,849,550"
04/27/2023,"29.38","30.50","29.35","30.09","8,392,856"
04/26/2023,"28.88","29.66","28.48","29.16","18,711,189"
04/25/2023,"28.11","29.09","27.90","28.87","15,279,120"
04/24/2023,"28.70","28.86","28.36","28.60","7,526,951"
04/21/2023,"29.10","29.26","28.45","28.80","8,635,317"
04/20/2023,"29.78","29.95","28.80","29.06","12,453,460"
04/19/2023,"29.12","30.54","28.95","30.50","10,555,280"
04/18/2023,"30.40","30.51","29.90","30.44","7,780,918"
04/17/2023,"29.02","30.33","28.61","30.32","8,483,233"
04/14/2023,"30.07","30.11","28.93","29.10","9,370,332"
04/13/2023,"29.30","29.57","28.94","29.55","7,176,237"
04/12/2023,"29.69","30.06","29.15","29.38","5,767,779"
04/11/2023,"29.29","29.60","29.06","29.41","6,216,751"
04/10/2023,"28.94","29.52","28.82","29.29","5,505,013"
04/06/2023,"28.71","29.42","28.64","29.07","5,574,960"
04/05/2023,"28.55","29.12","28.28","28.62","9,071,152"
04/04/2023,"30.50","30.52","28.81","29.17","9,700,059"
04/03/2023,"30.61","30.84","29.83","30.20","7,362,124"
03/31/2023,"31.11","31.26","29.96","30.37","11,001,550"
03/30/2023,"31.74","31.81","30.40","30.77","8,100,399"
03/29/2023,"31.13","31.43","30.87","31.13","9,854,839"
03/28/2023,"30.50","30.82","30.25","30.73","6,859,057"
03/27/2023,"32.40","32.49","30.41","30.48","12,701,580"
03/24/2023,"29.18","31.43","28.79","31.10","11,488,690"
03/23/2023,"31.19","31.32","29.73","29.89","8,759,560"
03/22/2023,"32.91","32.94","30.93","30.96","8,102,934"
03/21/2023,"32.80","33.49","32.63","33.02","7,563,121"
03/20/2023,"31.54","32.83","31.25","31.55","12,167,630"
03/17/2023,"32.15","32.47","30.58","30.86","17,698,420"
03/16/2023,"31.05","33.51","30.83","32.59","14,992,330"
03/15/2023,"30.61","32.04","30.38","31.51","16,906,840"
03/14/2023,"33.07","33.48","30.92","31.90","13,167,900"
03/13/2023,"31.91","32.64","29.72","30.65","20,903,779"
03/10/2023,"34.57","35.81","33.60","34.44","12,623,770"
03/09/2023,"37.73","37.90","35.67","35.75","9,842,000"
03/08/2023,"38.89","38.89","37.75","38.08","5,622,264"
03/07/2023,"40.43","40.55","38.60","38.69","6,548,500"
03/06/2023,"41.00","41.37","40.69","40.77","4,006,037"
03/03/2023,"40.42","40.99","40.24","40.98","4,180,968"
03/02/2023,"41.23","41.39","39.97","40.35","5,668,041"
03/01/2023,"41.54","41.84","41.37","41.61","3,415,599"
02/28/2023,"41.91","42.16","41.61","41.76","4,626,851"
02/27/2023,"42.18","42.52","41.56","41.75","3,074,462"
02/24/2023,"41.44","42.00","41.32","41.89","3,760,894"
02/23/2023,"42.15","42.47","41.50","41.93","4,411,352"
02/22/2023,"41.83","42.22","41.61","41.84","3,600,445"
02/21/2023,"42.71","42.83","41.82","41.95","3,974,165"
02/17/2023,"42.98","43.47","42.81","43.18","4,095,107"
02/16/2023,"42.95","43.26","42.71","42.81","2,269,626"
02/15/2023,"42.86","43.53","42.83","43.43","1,894,420"
02/14/2023,"43.33","43.55","42.69","43.36","2,694,493"
02/13/2023,"42.99","43.58","42.82","43.47","2,650,037"
02/10/2023,"42.91","43.14","42.60","43.12","2,711,987"
02/09/2023,"44.02","44.22","43.11","43.17","2,869,639"
02/08/2023,"43.82","44.19","43.71","43.81","3,137,995"
02/07/2023,"43.60","44.54","43.55","44.28","2,825,100"
02/06/2023,"43.87","44.14","43.66","43.78","2,719,694"
02/03/2023,"44.10","44.82","44.09","44.44","2,969,498"
02/02/2023,"43.88","44.79","43.72","44.46","3,647,296"
02/01/2023,"43.00","44.03","42.90","43.66","3,604,342"
01/31/2023,"42.41","43.34","42.18","43.32","2,989,703"
01/30/2023,"42.63","43.02","42.19","42.29","3,410,533"
01/27/2023,"43.04","43.47","43.04","43.29","2,856,899"
01/26/2023,"43.05","43.36","42.48","43.12","3,857,984"
01/25/2023,"41.58","42.77","41.49","42.75","5,269,762"
01/24/2023,"42.42","42.57","41.63","41.82","4,273,455"
01/23/2023,"41.49","42.72","41.26","42.42","4,281,437"
01/20/2023,"40.52","41.27","40.11","41.26","7,980,610"
01/19/2023,"40.49","40.68","39.86","40.27","4,851,530"
01/18/2023,"40.60","41.49","40.24","40.90","7,269,243"
01/17/2023,"41.49","41.61","40.47","40.82","6,119,274"
01/13/2023,"41.28","41.78","40.69","41.72","3,893,028"
01/12/2023,"41.78","42.25","41.59","41.83","3,019,924"
01/11/2023,"41.32","41.74","41.17","41.47","3,414,322"
01/10/2023,"41.07","41.32","40.84","41.26","2,514,034"
01/09/2023,"41.66","41.85","41.01","41.10","2,411,412"
01/06/2023,"40.59","41.82","40.51","41.64","3,238,276"
01/05/2023,"40.40","40.66","39.92","40.47","3,819,709"
01/04/2023,"40.01","40.93","39.90","40.65","3,356,200"
01/03/2023,"39.50","40.02","39.20","39.53","3,784,078"
12/30/2022,"39.24","39.51","39.12","39.37","2,199,918"
12/29/2022,"39.06","39.68","38.91","39.47","2,303,317"
12/28/2022,"39.26","39.40","38.87","38.97","1,881,566"
12/27/2022,"38.95","39.28","38.78","39.21","1,663,219"
12/23/2022,"38.82","39.11","38.61","38.90","1,809,113"
12/22/2022,"38.37","38.94","37.97","38.89","3,047,772"
12/21/2022,"38.59","39.09","38.56","38.70","3,831,827"
12/20/2022,"38.34","38.66","38.00","38.05","4,141,793"
12/19/2022,"38.29","38.77","37.88","38.20","2,836,544"
12/16/2022,"37.92","38.41","37.75","38.33","6,154,369"
12/15/2022,"38.38","38.75","38.14","38.32","5,140,246"
12/14/2022,"39.89","40.00","38.88","39.06","4,484,282"
12/13/2022,"41.35","41.59","39.61","39.90","4,687,774"
12/12/2022,"39.90","40.55","39.33","40.43","3,753,325"
